Rua,N̼mero,Bairro,Cidade,Estado
Rua Comendador Antonio Alves,613,Centro,Pedro Leopoldo,Minas Gerais,
Rua Oliver Teixeira,215,Parque Jardim Soli,Pedro Leopoldo,Minas Gerais,
Rua Wilson Trindade Rezende,80,Maria Candida,Pedro Leopoldo,Minas Gerais,
Rua Juiz Ari Castilho, 23, Centro, Pedro Leopoldo, Minas Gerais,
Rua Cristiano Otoni ,600,Centro,Pedro Leopoldo,Minas Gerais,
Rua Esporte,34,Centro,Pedro Leopoldo,Minas Gerais,
Rua Magno Claret,435,Felipe Claudio,Pedro Leopoldo,MG
Rua Formiga, 45, Lundeia II, Lagoa Santa, Minas Gerais,
Pontificia Universidade Catolica, Coracao Eucaristico, Belo Horizonte, Minas Gerais,
